剧情ID,剧情对话1类型,剧情对话1人物方位,剧情对话1人物ID,剧情对话1人物Y轴偏移值,剧情对话1人物动作,"剧情对话1人物
头部转向","剧情对话1人物
身体朝向",剧情对话1文本,语音1,剧情对话2类型,剧情对话2人物方位,剧情对话2人物ID,剧情对话2人物Y轴偏移值,剧情对话2人物动作,"剧情对话2人物
头部转向","剧情对话2人物
身体朝向",剧情对话2文本,语音2,剧情对话3类型,剧情对话3人物方位,剧情对话3人物ID,剧情对话3人物Y轴偏移值,剧情对话3人物动作,"剧情对话3人物
头部转向","剧情对话3人物
身体朝向",剧情对话3文本,语音3,剧情对话4类型,剧情对话4人物方位,剧情对话4人物ID,剧情对话4人物Y轴偏移值,剧情对话4人物动作,"剧情对话4人物
头部转向","剧情对话4人物
身体朝向",剧情对话4文本,语音4,剧情对话5类型,剧情对话5人物方位,剧情对话5人物ID,剧情对话5人物Y轴偏移值,剧情对话5人物动作,"剧情对话5人物
头部转向","剧情对话5人物
身体朝向",剧情对话5文本,语音5,剧情对话6类型,剧情对话6人物方位,剧情对话6人物ID,剧情对话6人物Y轴偏移值,剧情对话6人物动作,"剧情对话6人物
头部转向","剧情对话6人物
身体朝向",剧情对话6文本,语音6,
Clinghunbabieta,1,2,E:2C6088,0,,15,10,你们终将被审判！异教徒！！,,1,2,E:2C6088,0,,15,10,圣光不会饶恕你们！巴比伦人民不会饶恕你们！,,1,1,$:best,0,,10,-48,神究竟是如何对待巴比伦人民的？你难道不知道吗？,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cxinyangbabietahou,1,1,$:best,0,,10,-48,但愿这些狂热的信徒能够明白，信仰并非盲从……,,1,2,E:2C3010,0,,15,10,这些歪理邪说无法动摇我的内心！！,,1,1,$:best,0,,10,-48,然而争论这些又有什么用呢？是真是假，你再也看不到了！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cjiabailie,1,2,E:ST0147,0,,15,10,哦！哦！哦！！雷米尔这个成事不足败事有余的家伙！竟然需要我亲自出马收拾残局！,,1,1,$:worst,0,,10,-48,那还真是抱歉呢……,,1,2,E:ST0147,0,,15,10,不过也好，得到你们拒绝交出的宝物，神想必待我更是青眼有加……,,1,1,$:worst,0,,10,-48,想的可真是美啊，巴别塔无法通天，你的脸倒是顶天立地，无所不能呢……,,,,,,,,,,,,,,,,,,,,
Cjiabailiehou,1,2,E:ST0147,0,,15,10,啊~~~~我……还是想错了……,,1,1,$:worst,0,,10,-48,你这是要道歉么？若是道歉有用的话，还要神的裁决干什么……,,1,2,E:ST0147,0,,15,10,我应该安静的坐在神的右边，没有谁能够替代我！！！我又何必……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cfanpanbabieta,1,2,E:2C6088,0,,15,10,全体警戒！,,1,1,$:best,0,,10,-48,小心！！！！,,1,2,E:2C6088,0,,15,10,冲锋！！！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cyuanhenbabieta,1,1,$:best,0,,10,-48,注意！！有食尸鬼袭击！！,,1,2,E:4C1071,0,,15,10,诶！！这里发现天启异教徒！！！他们也要进攻伊甸吗？,,1,2,E:4C1071,0,,15,10,你管他们是不是同路，先宰掉吃肉要紧！,,1,2,E:4C1071,0,,15,10,你说的对！！,,1,1,$:worst,,,10,-48,喂……讲讲理好吗………………,,,,,,,,,,,
Cqingshangbabieta,1,1,$:worst,0,,10,-48,怎么连恶魔也涌入了这里，我们的前路很不明朗……,,1,1,$:best,0,,10,-48,我记得地狱大军已经准备许久了……,,1,2,E:5C1037,0,,15,10,我说巴别塔的防御怎么这么松懈，原来天使们都在追你们！,,1,1,$:worst,0,,10,-48,那应该好好感谢我们才对！,,1,2,E:5C1037,,,15,10,那就请你吃你们的肉吧~~哈哈哈哈哈哈！！！！！,,,,,,,,,,,
Casazile,1,2,E:ST0046,0,,15,10,诶嘿~~没想到没遇到天使老相好，倒是先遇到一群异教徒……,,1,1,$:worst,0,,10,-48,你们倒是很团结，不论是天使还是恶魔都管我们叫异教徒呢！,,1,2,E:ST0046,0,,15,10,那是，虽然信仰不同了，但光和暗却是一体的！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Casazilehou,1,1,$:worst,0,,10,-48,难以想象，你居然仍有一体的想法，既然如此，为何又要背叛圣光呢？,,1,2,E:ST0046,0,,15,10,这就说来话长了，我喜欢的人，他们不喜欢，尽管是冲动的惩罚，但我必将复仇！,,1,1,$:worst,0,,10,-48,真是令人感动！,,1,2,E:ST0046,0,,15,10,那必须的，醒掌天子剑，醉卧美人膝，男人的终极追求罢了！！,,,,,,,,,,,,,,,,,,,,
Cqingshenbabieta,1,1,$:worst,0,,10,-48,这位阿撒兹勒，还真是情根深种啊，数一数，有不少的恶魔都是因为恋爱问题而堕落……,,1,1,$:best,0,,10,-48,瞎扯，分明是给自己的欲望找个理所当然的借口！,,1,2,E:4C6071,0,,15,10,胡说！我们分明在为了自己的利益反抗阶级压迫！,,1,1,$:best,0,,10,-48,亲，做不到为自己的行为承担后果的话，就不要吹牛哦，打脸是很痛的。,,,,,,,,,,,,,,,,,,,,
Cjinmobabietahou,1,2,E:4C3071,0,,15,10,嚣张什么？你们有没有同情心？,,1,1,$:best,0,,10,-48,同情心？,,1,2,E:4C4071,0,,15,10,是呀是呀！我们都被伊甸迫害了！你们居然还对我们喊打喊杀！！,,1,1,$:best,0,,10,-48,不是你们先凑上来的吗？,,,,,,,,,,,,,,,,,,,,
Cxianjingbabieta,1,1,$:worst,0,,10,-48,天启世界也乱的一塌糊涂啊……,,1,2,E:4C4071,0,,15,10,你们会为今天的行为后悔！为了食尸鬼利益，为了世界的爱与和平！冲啊！！！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cxianjingbabietahou,1,1,$:worst,0,,10,-48,然而食尸鬼世界的爱与和平是什么？,,1,2,E:5C1037,0,,15,10,当然是每个食尸鬼都有肉吃，拥有自由与权力，贫富相等！,,1,1,$:best,0,,10,-48,那么谁去工作？谁去当肉？,,1,2,E:4C6071,0,,15,10,呃……,,,,,,,,,,,,,,,,,,,,
Csamaier,1,1,$:best,0,,10,-48,天使与恶魔的集合队伍，这可不多见呢，信仰呢？救赎呢？脸呢？,,1,2,E:ST0047,0,,15,10,不要这么气急败坏嘛，小兄弟，我们虽然分出了光与暗，但依然都是天启最忠诚的信徒！,,1,2,E:ST0046,0,,15,10,叫你们在咱们天启世界中撒野，咱们太没面子啦！,,1,1,$:worst,0,,10,-48,还不如直接说，你们就是想联合起来抢劫！,,1,2,E:ST0146,,,15,10,谁说不是呢？可是在我们的地盘，谁又能说什么呢？！,,,,,,,,,,,
Csamaierhou,1,1,$:worst,0,,10,-48,这般卑鄙下流无耻的手段也使得出来……,,1,1,$:best,0,,10,-48,活该你们大水冲了龙王庙，自家人打自家人~~~我们先走了，你们继续！！！！,,1,2,E:ST0147,0,,15,10,喂！！！把东西给我留下！！！留下！！！！！！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanashenzu,1,2,E:6C6058,0,,15,10,欢迎来到华纳宫殿！！！,,1,1,$:best,0,,10,-48,非常感谢，不过这画风明显不对啊！！！,,1,2,E:6C6058,0,,15,10,没错，冤有头，债有主，你们欠北欧世界的，一起还回来吧！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanayongshi,1,1,$:worst,0,,10,-48,看，他们来了！,,1,2,E:6C1058,0,,15,10,最近新学了一句话，叫做天堂有路你不走，地狱无门你闯进来！用在你们身上真真是极好的！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanaqixi,1,2,E:6C2058,0,,15,10,我们华纳神族，世代爱好和平，你们的入侵，使人被迫拿起武器，陷入战争之中！,,1,1,$:best,0,,10,-48,你们确定你们的和平发自于内心？,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cfulei,1,2,E:ST0150,0,,15,10,我们的内心爱好和平……,,1,1,$:best,0,,10,-48,没错，可是你们的和平，并没有建立在平等的基础之上。,,1,2,E:ST0150,0,,15,10,有所牺牲是必须的，世上安得双全法，不负如来不负卿！,,1,1,$:best,0,,10,-48,不会说话就闭嘴，既然多情注定无情！！,,,,,,,,,,,,,,,,,,,,
Cfuleihou,1,2,E:ST0150,0,,15,10,我最后劝你们一遍，交出你们掠夺的混沌结晶，离开华纳宫殿……,,1,1,$:best,0,,10,-48,手下败将有什么说服力呢？,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanayinji,1,2,E:6C6058,0,,15,10,华纳神族！战无不胜！！,,1,1,$:worst,0,,10,-48,这话你自己听你信吗？,,1,2,E:6C6058,0,,15,10,当然，华纳神族的神圣历史值得每个人铭记！,,1,1,$:worst,0,,10,-48,可那已经是历史了呀！,,,,,,,,,,,,,,,,,,,,
Chuanazuji,1,2,E:6C6058,0,,15,10,放弃抵抗吧，入侵者！你们已经被包围了！！华纳神族的怒火在熊熊燃烧！华纳神族的意志将永垂不朽！,,1,1,$:worst,0,,10,-48,别做梦了……,,1,2,E:6C4058,0,,15,10,让怒火烧尽一切吧！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanazhixin,1,2,E:6C1058,0,,15,10,华纳神族终将崛起！,,1,1,$:best,0,,10,-48,我绝不否认这一点！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cyideng,1,2,E:ST0253,0,,15,10,你们不能再向前一步！,,1,1,$:best,0,,10,-48,这是为何？,,1,2,E:ST0253,0,,15,10,这是……,,1,2,E:ST0150,0,,15,10,和他们讲这么多干嘛！！干掉他们！,,1,1,$:best,,,10,-48,啊，你们现在不讲究和平了？,,,,,,,,,,,
Cyidenghou,1,2,E:ST0150,0,,15,10,竟然没能拦住他们，若叫他们碰触到那个秘密，可怎么办！！！,,1,2,E:ST0253,0,,15,10,他们不会如愿的，我决不放弃！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanasiji,1,1,$:worst,0,,10,-48,我们似乎又卷入了奇怪的事件之中！,,1,1,$:best,0,,10,-48,我们静观其变吧，都仔细注意华纳神族的动向。,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanazhihen,1,2,E:6C6058,0,,15,10,胆敢入侵华纳神族的人，杀无赦！,,1,1,$:worst,0,,10,-48,那可得看看你实力是否名副其实！,,1,2,E:6C6058,0,,15,10,狂妄！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cnieerde,1,2,E:ST0228,0,,15,10,华纳神族，将由我来守护！,,1,1,$:worst,0,,10,-48,上次你不是跑的挺快的吗？,,1,2,E:ST0228,0,,15,10,不……我要，重新面对我自己，和整个华纳神族！我不能再逃避……,,1,2,E:ST0228,0,,15,10,来战吧！为了华纳神族的崛起！为了少女们无邪的爱情！！,,,,,,,,,,,,,,,,,,,,
Cnieerdehou,1,2,E:ST0228,0,,15,10,我怎么能又失败了？这可怎么办……明明是击溃阿萨神族最好的时机……,,1,1,$:best,0,,10,-48,这到底发生了什么？,,1,2,E:ST0228,0,,15,10,看来只能背水一战了……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanayinyou,1,2,E:6C1058,0,,15,10,阻止他们！,,1,1,$:best,0,,10,-48,我们的征途才刚刚开始！！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanaxianzu,1,1,$:worst,0,,10,-48,这些华纳士兵异常的沉默，我有点不太适应……,,1,2,E:6C3058,0,,15,10,因为讲那些废话并没有意义！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuanakuangbao,1,1,$:best,0,,10,-48,这里的气氛太诡异了！简直是暴风雨前的平静！,,1,1,$:worst,0,,10,-48,我想你讲的没错，前方肯定有大事发生！,,1,2,E:6C6058,0,,15,10,怎么可能会叫你们继续前进呢？,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Chuoerdeer,1,1,$:best,0,,10,-48,我始终没能想明白，涅尔德所说的最好的时机时机是什么……,,1,2,E:ST0228,0,,15,10,你们想明白又有什么意义？阿萨神族已经大祸临头了，他们等着迎接诸神黄昏吧！哈哈哈哈哈哈哈……,,1,1,$:best,0,,10,-48,坏了，我们必须阻止这件事！,,1,2,E:ST0254,0,,15,10,你们无法阻止，因为光明之神巴尔德，他已经死了……,,,,,,,,,,,,,,,,,,,,
Chuoerdeerhou,1,1,$:best,0,,10,-48,难道你们忘记了？世界已经破碎又融合，一旦发生诸神黄昏，那将是全世界的灾难！,,1,2,E:ST0254,0,,15,10,哈哈哈哈，就让这世界陪着他们毁灭吧，反正也没人在乎我，那就一起陪葬吧！,,1,2,E:ST0150,0,,15,10,不！华纳神族，不能跟着他们倾覆，为了世界的和平，你们快去阻止这件事！,,1,1,$:best,0,,10,-48,现在想起我们来了？你们早干嘛啦……,,,,,,,,,,,,,,,,,,,,
Cyouanbihusuo,1,1,$:worst,0,,10,-48,为什么我们还是得来寻找解决诸神黄昏这件事？,,1,1,$:best,0,,10,-48,因为现在已经世界大乱……一旦揭开诸神黄昏的序章，这这代价将无法承受……,,1,1,$:worst,0,,10,-48,虽然说阿萨神族是一窝骗子，这华纳神族也好不到哪里去，以为世界之大，人人皆他妈，要亲命了！,,1,1,$:best,0,,10,-48,别抱怨了，为了我们的信仰与梦想！糟糕，我们被发现了！,,,,,,,,,,,,,,,,,,,,
Csiwangbihusuo,1,1,$:worst,0,,10,-48,又是骷髅士兵！这简直糟糕透了！,,1,2,E:1C1096,0,,15,10,这里！将成为你们的埋骨之地！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Czhanlihusuo,1,2,E:1C2096,0,,15,10,恐惧吧，虽然这毫无意义！,,1,1,$:worst,0,,10,-48,别这样说，我们的战斗还没有开始！,,1,2,E:1C2096,0,,15,10,真是迫不及待啊！我的战意在燃烧！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cnaerfu,1,2,E:ST0255,0,,15,10,天哪，你们是什么人？,,1,1,$:worst,0,,10,-48,我们……,,1,2,E:ST0255,0,,15,10,怎么办，怎么办，我感到十分的恐惧！！他们一定是来为难父亲的，一定是！！！,,1,1,$:worst,0,,10,-48,听我们说……,,1,2,E:ST0255,,,15,10,不行！！不行！！！我不听！！！我一定得要坚强才行！！,,,,,,,,,,,
Cnaerfuhou,1,2,E:ST0255,0,,15,10,呜呜呜，又给父亲丢脸了……,,1,2,E:ST0255,0,,15,10,不行不行，这不行，为了父亲我得学会独立和战斗！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ccankubihusuo,1,1,$:worst,0,,10,-48,他他他……就这么跑了？他是谁？？？,,1,1,$:best,0,,10,-48,应该是洛基的儿子，纳尔弗……洛基唯一没有被流放的孩子……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cfujibihusuo,1,2,E:1C6096,0,,15,10,就是他们！快快快！包围他们！,,1,1,$:worst,0,,10,-48,糟糕，我们被包围了！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cmiwubihusuohou,1,2,E:1C3096,0,,15,10,哦不！快拦住他们！！！,,1,1,$:best,0,,10,-48,这话怎么说？,,1,2,E:1C1096,0,,15,10,庇护所的秘密决不能给外人知晓……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cyemengjiade,1,2,E:ST0155,0,,15,10,你说有外人入侵？就是他们吗？,,1,2,E:ST0255,0,,15,10,是啊是啊！！！！,,1,2,E:ST0155,0,,15,10,不要害怕这些卑微的凡人，他们和阿萨神族一样令人厌恶！,,1,1,$:best,0,,10,-48,我不想涉入你们的恩怨，只是……,,1,2,E:ST0155,,,15,10,踏入这里的人！！都得死！！！,,,,,,,,,,,
Cyemengjiadehou,1,2,E:ST0155,0,,15,10,居然会失败！这不可能！难道是因为我在无尽之海待得太久了？,,1,1,$:best,0,,10,-48,也没有那么糟糕……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cguihunbihusuo,1,1,$:best,0,,10,-48,继续前进！,,1,2,E:1C1096,0,,15,10,这并没有你们想象中那么容易！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cshouweibihusuo,1,2,E:1C6096,0,,15,10,没有人能够活着离开这里！,,1,1,$:worst,0,,10,-48,我觉得，现在这种，你们应该先担心自己！,,1,2,E:1C1096,0,,15,10,看到哥的骨头了吗？哥会需要担心？,,1,1,$:worst,0,,10,-48,那就将你的骨头，和生命一起碾碎！,,1,2,E:1C4096,,,15,10,大言不惭！,,,,,,,,,,,
Cfenlie,1,2,E:ST0108,0,,15,10,你们是谁？到这里来做什么？是提尔派你们前来的吗？,,1,1,$:best,0,,10,-48,不是的！,,1,2,E:ST0108,0,,15,10,不是就好！提尔这个混蛋，我恨不得立刻就撕烂他的血肉！吞噬他的灵魂！那么你们？,,1,1,$:best,0,,10,-48,我们希望能够阻止再次开启的诸神黄昏……,,1,2,E:ST0108,,,15,10,这不可能！,,,,,,,,,,,
Cfenliehou,1,2,E:ST0108,0,,15,10,你们为什么要阻止我们？为什么？难道虚伪的北欧诸神不应该被毁灭吗？,,1,1,$:best,0,,10,-48,现在世界融合，一旦开启，将是所有文明的灾难，你们看不到吗？,,1,2,E:ST0108,0,,15,10,其他文明和我有什么关系！！,,1,1,$:best,0,,10,-48,不，芬里厄，不应该让仇恨蒙蔽我们的双眼……,,,,,,,,,,,,,,,,,,,,
Czhuijibihusuo,1,1,$:worst,0,,10,-48,快追上芬里厄！,,1,2,E:1C6096,0,,15,10,太迟了！我不会叫你们前进一步！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ctuxibihusuo,1,2,E:1C4096,0,,15,10,哈哈哈哈，我的大刀已经饥渴难耐啦！,,1,1,$:worst,0,,10,-48,让开！我们还有很多事没有完成！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cfuchoubihusuo,1,2,E:1C6096,0,,15,10,真是嚣张啊！包围他们！用他们的鲜血，为我们的同伴复仇！,,1,2,E:1C4096,0,,15,10,阻拦他们，不能再使他们前进一步！,,1,1,$:best,0,,10,-48,情况真是糟糕！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cluoji,1,2,E:ST0154,0,,15,10,啊，你们最终还是追到了这里……,,1,1,$:best,0,,10,-48,我们并不想叫世界再糟劫难……,,1,2,E:ST0154,0,,15,10,我也不想的，只是命运，它终究不随人意……,,1,1,$:best,0,,10,-48,别强调命运了，你明明知道——我命由我不由天这句话，将一切推给命运……这种行为太懦弱了！,,1,2,E:ST0108,,,15,10,呵呵，圣母我见的多了，如你们这般的，还真是少见啊！请问你们尝试过背叛的滋味吗？尝过因为信任而被捆绑吗？尝过一出生便被流放的滋味吗？,,1,2,E:ST0108,,,15,10,世界诸神你争我夺，有考虑过他人的感受吗？你们伸着一张救世主的脸，说到底还不是在四处掠夺？,,
Cluojihou,1,1,$:worst,0,,10,-48,最近的事情都十分的诡异……,,1,2,E:ST0154,0,,15,10,是啊是啊，不但你我成为他人棋子……,,1,1,$:worst,0,,10,-48,感觉是被人骗了！！！,,1,2,E:ST0108,0,,15,10,呵呵……,,,,,,,,,,,,,,,,,,,,
Cposuicaihongqiao,1,2,E:ST0002,0,,15,10,快，英雄们，彩虹桥被人破坏了！,,1,1,$:best,0,,10,-48,天哪，什么人如此的丧心病狂？那可是整个世界的宝贵财富！,,1,2,E:ST0002,0,,15,10,快去看看吧！,,1,2,E:8C6067,0,,15,10,有人来了，快过来看看！！,,,,,,,,,,,,,,,,,,,,
Cyouyucaihongqiao,1,1,$:worst,0,,10,-48,你们疯啦！怎么能破坏自己文明的绚丽瑰宝呢？这可是全世界的财富！,,1,2,E:9C1067,0,,15,10,这不是全世界的财富，这是属于北欧人民的财富，你们这些强盗！！,,1,1,$:worst,0,,10,-48,好吧好吧！这是北欧人民的财富，可是你们为何如此？,,1,2,E:9C1067,0,,15,10,你又有什么立场来过问这些呢？,,,,,,,,,,,,,,,,,,,,
Cbeimincaihonqiao,1,2,E:8C6067,0,,15,10,站住，你们这群无耻的强盗！,,1,1,$:worst,0,,10,-48,现在正在肆意破坏的人，是你们，不是我，好吗，不阻止你们，难道任由你们在此为所欲为？,,1,2,E:9C3067,0,,15,10,呵呵，这是个笑话，我们拆自己家的房子，还被外人指手画脚，强盗就是强盗，充什么世界警察？,,1,1,$:best,0,,10,-48,你的思维太狭隘了，我们应该为这个世界着想！,,1,2,E:8C2068,,,15,10,哈哈哈哈哈哈，这个世界大爱的理论足够我笑上一年，先看看你们自己能不能做到好吗？,,,,,,,,,,,
Cbeimincaihonqiaohou,1,1,$:best,0,,10,-48,你想笑上一年当然没有问题，可是，你还能活上一年吗？,,1,2,E:8C2068,0,,15,10,……你……这个……强盗……,,1,1,$:best,0,,10,-48,因为……世界从不会听弱者讲道理呀……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cweili,1,2,E:ST0261,0,,15,10,抓紧时间，我们要尽快破坏掉彩虹桥！,,1,1,$:worst,0,,10,-48,等等，等等，这位大叔！！到底什么仇什么怨，您要对彩虹桥如此绝情呢？它可是北欧世界不可分割的一部分呀！,,1,2,E:ST0261,0,,15,10,请叫我威利！,,1,2,E:ST0261,0,,15,10,在奥丁抛弃我和维，踏着我们的血泪登上神王宝座的时候，我们就已经不是北欧世界的一部分了！那些黑暗悲伤的日子不提也罢！快让开！,,,,,,,,,,,,,,,,,,,,
Cweilihou,1,1,$:worst,0,,10,-48,你们兄弟之间的感情竟然破裂，然而破坏掉彩虹桥，又能有什么意义？,,1,2,E:ST0261,0,,15,10,我流浪的时候，遇见一位叫做奥德修斯的小哥，他讲，破坏掉彩虹桥，他便能助我重登神王宝座！,,1,1,$:worst,0,,10,-48,……您这个智商啊，也是活该被奥丁坑啊……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cqizhacaihongqiao,1,1,$:worst,0,,10,-48,北欧世界的事情也各种复杂……,,1,1,$:best,0,,10,-48,这个我们已经见识过了……他们都在为了自己的利益而战，将这个破碎又融合的世界拖入无尽的黑暗之中……,,1,2,E:8C3067,0,,15,10,快！阻止他们！,,1,1,$:best,0,,10,-48,不能叫他们继续破坏彩虹桥！,,,,,,,,,,,,,,,,,,,,
Ctuxicaihongqiao,1,1,$:worst,0,,10,-48,这个威利肯定是被人骗了！话说这个奥德修斯怎么听起来这么耳熟……,,1,1,$:best,0,,10,-48,我也正在想这件事……等等，前面怎么来了一群希腊的士兵！！,,1,2,E:9C4067,0,,15,10,嘿！干什么的？你们看起来可不是北欧世界的！破坏大事的人，格杀勿论！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cruqincaihongqiao,1,1,$:best,0,,10,-48,这是怎么了？这件事隐隐透着不寻常的气息！,,1,1,$:worst,0,,10,-48,啊！！难道！！难道！！就是想出木马计的那个人！！,,1,1,$:best,0,,10,-48,什么？,,1,1,$:worst,0,,10,-48,奥德修斯！！特洛伊！！木马计！！！,,,,,,,,,,,,,,,,,,,,
Caodexiusi,1,2,E:ST0156,0,,15,10,我远远的就听到有人在喊我的名字……,,1,1,$:worst,0,,10,-48,竟然还真的是他……,,1,2,E:ST0156,0,,15,10,奉我的女神雅典娜之命，前来调查希腊英雄流失之谜！,,1,2,E:ST0261,0,,15,10,不是助我登上神王宝座吗？,,1,2,E:ST0156,,,15,10,呃……没错，是这样，主要是帮你，调查是附带的！,,1,2,E:ST0261,,,15,10,诶呀，你早说啊！！你怎么不早说呢！！太不把我当兄弟，我帮你呀！！不过我们先要碾碎这些渣渣！,,
Caodexiusihou,1,2,E:ST0156,0,,15,10,居然失败了？,,1,1,$:best,0,,10,-48,看来离开雅典娜，你也是一无是处啊！,,1,2,E:ST0156,0,,15,10,那就等着我的女神雅典娜，赐予你们最可怕的惩罚！,,1,1,$:best,0,,10,-48,诶呀，我真的好怕~~看看美杜莎和特洛伊大祭司就知道了~~~,,,,,,,,,,,,,,,,,,,,
Cjuezhancaihongqiao,1,1,$:worst,0,,10,-48,这里的希腊士兵好多！都怪可怕的带路党！,,1,2,E:9C6067,0,,15,10,干掉他们！为了雅典娜！,,1,1,$:worst,0,,10,-48,难道他们想把这座桥改名叫做雅典娜之桥？,,1,1,$:best,0,,10,-48,有可能……吧……,,,,,,,,,,,,,,,,,,,,
Ckeruisi,1,2,E:ST0262,0,,15,10,你们有没有看到我的女儿……,,1,1,$:worst,0,,10,-48,没有，你的女儿是谁？,,1,2,E:ST0262,0,,15,10,她叫做珀耳塞福涅，如春花一般美丽……,,1,1,$:best,0,,10,-48,呃……我想你找错地方了，您的女儿可能在冥界……,,1,2,E:ST0262,,,15,10,好大的胆子！谁允许你们诅咒我的女儿！！,,,,,,,,,,,
Ckeruisihou,1,2,E:ST0262,0,,15,10,我的女儿啊！！！！,,1,1,$:best,0,,10,-48,我们没骗你……,,1,2,E:ST0262,0,,15,10,闭嘴！！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cjuewangcaihongqiao,1,1,$:worst,0,,10,-48,她怎么就是不相信呢？,,1,1,$:best,0,,10,-48,坏了，是我们没说清楚，她家姑娘在冥界那是被哈迪斯抢走当媳妇了……不是去世了，她误会了……,,1,1,$:worst,0,,10,-48,我们快找找她……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cqiangduocaihongqiao,1,2,E:9C6067,0,,15,10,我们最终会统治彩虹桥的！,,1,1,$:worst,0,,10,-48,这梦做的太美好！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cjiajicaihongqiao,1,2,E:9C3067,0,,15,10,你们的死期就要到来了！,,1,1,$:worst,0,,10,-48,不，是你的死期！,,1,2,E:8C6067,0,,15,10,那就试试看呀！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cruiya,1,1,$:best,0,,10,-48,没想到竟然能在这里见到瑞亚女神！她在希腊世界也消失很久了……,,1,2,E:ST0157,0,,15,10,是吗？我有离开那么久吗？时间真是一晃而过啊！,,1,1,$:best,0,,10,-48,向您致以崇高的敬意！,,1,2,E:ST0157,0,,15,10,呵呵呵，不必客气，小男孩的争执我已经看得太久了，为了那些权利天天上演父杀子，子弑父的闹剧……,,1,1,$:best,,,10,-48,这真是不幸呢……,,1,2,E:ST0157,,,15,10,不能再叫这些小男孩胡闹下去了，世界还是得掌握在自己的手中，这样才能够过得舒心一些……,,
Cruiyahou,1,2,E:ST0157,0,,15,10,我竟然失败了？这不能……我还是叫母亲失望了呀……,,1,1,$:best,0,,10,-48,你要掌控希腊，为什么，会来到彩虹桥呢？,,1,2,E:ST0157,0,,15,10,希腊？那太小了……只有那些眼界低微的小男孩，才会舍弃广袤的世界，窝在自己的地洞中争得你死我活……,,1,2,E:ST0157,0,,15,10,我们要掌控的，绝不是那小小一块领土！对吗？尊敬的母亲……,,1,2,E:ST0261,,,15,10,什么？我怎么有点儿听不懂！！！,,,,,,,,,,,
Cgaiya,1,2,E:ST0056,0,,15,10,想不到，这么快就需要我的出场！！！虚无的黑暗已经叫我受够了！,,1,1,$:best,0,,10,-48,居然是希腊的创世神盖亚……真是糟糕啊……,,1,1,$:king,0,,10,-48,别担心，英雄们，我将与你们同在！,,1,2,E:ST0056,0,,15,10,哈哈哈哈哈，卑微的虫子，看我碾碎你们！,,,,,,,,,,,,,,,,,,,,
